"time" "x" "z" "v.x" "v.z" "d" "speed"
19440000 86283161474.7341 32813779973.6576 -14977.9254912222 36780.1149382174 92312123311.2675 39712.9085674808
19526400 84935531628.171 35968858957.4508 -16214.2543238323 36246.3131989076 92237754459.1206 39707.647422017
19612800 83481878538.3243 39075805280.0245 -17431.8234051023 35666.0575509497 92174522524.2308 39698.0620239116
19699200 81923911754.7484 42130638226.515 -18628.5868808852 35040.1289310209 92122299116.8441 39684.1893539638
19785600 80263515607.3223 45129449517.0586 -19802.5441330697 34369.416352556 92080938045.6108 39666.0753611637
19872000 78502745124.921 48068412032.5675 -20951.74641572 33654.9134196902 92050275542.6673 39643.7747339412
19958400 76643821248.6084 50943788790.9 -22074.3036092493 32897.7141819829 92030130674.4724 39617.3507220354
20044800 74689125452.1189 53751941554.8268 -23168.390572112 32099.0084833445 92020305811.9015 39586.8749374809
20131200 72641193886.505 56489338856.8184 -24232.2529145078 31260.0768917116 92020587119.0641 39552.4270884657
20217600 70502711030.2665 59152563591.8382 -25264.2123098228 30382.2852028735 92030745091.5384 39514.0946724653
20304000 68276502900.2537 61738320123.7649 -26262.6712945416 29467.0785889572 92050535142.349 39471.9726400001
20390400 65965529888.4624 64243440891.2357 -27226.1175439273 28515.9754635856 92079698256.5175 39426.1630539361
20476800 63572879242.4906 66664892462.4809 -28153.1275789073 27530.5610950971 92117961669.8852 39376.7747115619
20563200 61101757245.3374 68999781024.514 -29042.3698970073 26512.4810290079 92165039575.2046 39323.9227385582
20649600 58555481153.3598 71245357301.6394 -29892.6075297481 25463.43438538 92220633863.2507 39267.7281699121
20736000 55937470939.6267 73399020892.871 -30702.7000257304 24385.1670863114 92284434891.0134 39208.3175193391
20822400 53251240889.7565 75458324022.2393 -31471.6048638308 23279.4650658021 92356122268.879 39145.822337192
20908800 50500391099.8175 77420974703.5789 -32198.3783095682 22148.1475154104 92435365663.1851 39080.3787613484
20995200 47688598923.6469 79284839325.1149 -32882.1757321844 20993.0602155539 92521825609.4731 39012.1270644927
21081600 44819610415.2955 81047944663.2432 -33522.2514045904 19816.0689988851 92615154331.8641 38941.2112010032
21168000 41897231810.1705 82708479338.8104 -34117.9578123834 18619.053388427 92714996564.1675 38867.7783564828
21254400 38925321086.0281 84264794732.6804 -34668.7445016401 17403.9004490692 92820990368.5107 38791.9785027924
21340800 35907779642.2769 85715405380.5384 -35174.1564980733 16172.4988866929 92932767947.524 38713.9639612251
21427200 32848544133.1355 87058988869.6449 -35633.8323324175 14926.7334247254 93049956446.3708 38633.8889762299
21513600 29751578487.0961 88294385262.6352 -36047.5017085886 13668.4794833773 93172178741.1913 38551.9093018518
21600000 26620866141.9396 89420596075.443 -36414.9828522663 12399.5981822882 93299054210.8257 38468.1818027972
21686400 23460402521.2631 90436782838.0251 -36736.1795781076 11121.9316828536 93430199488.9864 38382.8640717838
