obs,statenum,casenum,vnumber,pnumber,atmcond,atmcond2,accday,accmon,caseyear,dayofweek,holiday,numfatal,rfun,age,ptype,sex
370,36,149,1,26,1,0,12,3,2011,7,0,15,11,83,2,1
371,36,149,1,27,1,0,12,3,2011,7,0,15,11,69,2,2
372,36,149,1,28,1,0,12,3,2011,7,0,15,11,61,2,2
373,36,149,1,29,1,0,12,3,2011,7,0,15,11,59,2,1
374,36,149,1,30,1,0,12,3,2011,7,0,15,11,61,2,1
375,36,149,1,31,1,0,12,3,2011,7,0,15,11,999,2,1
376,36,149,1,32,1,0,12,3,2011,7,0,15,11,56,2,2
377,36,150,1,1,10,0,1,4,2011,6,0,1,1,51,1,1
378,36,150,2,1,10,0,1,4,2011,6,0,1,1,30,1,1
379,36,151,1,1,10,0,23,3,2011,4,0,1,14,20,1,1
380,36,151,1,2,10,0,23,3,2011,4,0,1,14,20,2,1
381,36,151,1,3,10,0,23,3,2011,4,0,1,14,20,2,1
382,36,152,1,1,1,0,2,4,2011,7,0,1,14,46,1,1
383,36,152,2,1,1,0,2,4,2011,7,0,1,14,49,1,2
384,36,152,2,2,1,0,2,4,2011,7,0,1,14,14,2,1
385,36,153,1,1,10,0,3,4,2011,1,0,1,4,65,1,2
386,36,154,1,1,1,0,15,2,2011,3,0,1,16,24,1,1
387,36,154,1,2,1,0,15,2,2011,3,0,1,16,28,2,1
388,36,154,2,1,1,0,15,2,2011,3,0,1,16,46,1,1
389,36,155,1,1,1,0,24,1,2011,2,0,1,6,32,1,1
390,36,156,0,1,1,0,14,2,2011,2,0,1,16,77,5,2
391,36,156,1,1,1,0,14,2,2011,2,0,1,16,54,1,2
