station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	Max19	19th highest value	94.000	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	day	P50	50 percentile	41.083	74.521	272	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	day	Mean	annual mean	42.291	74.521	272	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	day	P95	95 percentile	68.833	74.521	272	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	day	P98	98 percentile	79.667	74.521	272	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	day	Max	maximum	98.391	74.521	272	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	P50	50 percentile	39.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	Mean	annual mean	42.276	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	P95	95 percentile	86.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	P98	98 percentile	98.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	Max	maximum	141.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	Max19	19th highest value	118.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1986	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	76.484	6700	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	day	P50	50 percentile	39.667	66.575	243	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	day	Mean	annual mean	39.808	66.575	243	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	day	P95	95 percentile	70.909	66.575	243	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	day	P98	98 percentile	80.087	66.575	243	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	day	Max	maximum	83.850	66.575	243	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	P50	50 percentile	36.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	Mean	annual mean	39.850	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	P95	95 percentile	84.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	P98	98 percentile	97.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	Max	maximum	152.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	Max19	19th highest value	121.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1987	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	68.082	5964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	day	P50	50 percentile	50.045	95.355	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	day	Mean	annual mean	50.756	95.355	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	day	P95	95 percentile	85.182	95.355	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	day	P98	98 percentile	93.737	95.355	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	day	Max	maximum	101.909	95.355	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	P50	50 percentile	46.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	Mean	annual mean	50.673	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	P95	95 percentile	107.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	P98	98 percentile	124.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	Max	maximum	210.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	Max19	19th highest value	170.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1988	hour	Hours(c > 200)	hours with c > 200 ug/m3	1.000	86.988	7641	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	day	P50	50 percentile	44.455	94.247	344	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	day	Mean	annual mean	46.206	94.247	344	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	day	P95	95 percentile	82.545	94.247	344	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	day	P98	98 percentile	92.136	94.247	344	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	day	Max	maximum	114.818	94.247	344	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	P50	50 percentile	41.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	Mean	annual mean	46.122	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	P95	95 percentile	103.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	P98	98 percentile	118.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	Max	maximum	190.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	Max19	19th highest value	151.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1989	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	86.553	7582	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	day	P50	50 percentile	40.182	96.712	353	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	day	Mean	annual mean	42.058	96.712	353	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	day	P95	95 percentile	68.950	96.712	353	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	day	P98	98 percentile	84.318	96.712	353	Y
